序号   宫观名称                         地址                                      派别 

601 塘下镇天圣宫 浙江省温州市瑞安市塘下镇邵宅村天圣宫 正一

602 塘下镇天仙宫 浙江省温州市瑞安市塘下镇赵宅村天仙宫 正一

603 塘下镇五显观 浙江省温州市瑞安市塘下镇海北村五显观 正一

604 陶山镇天庆观 浙江省温州市瑞安市陶山镇桐浦办事处桐溪村 正一

605 汀田街道姜圣观 浙江省温州市瑞安市汀田街道汀九村 正一

606 塘下镇龙圣观 浙江省温州市瑞安市塘下镇海西村龙圣观 正一

607 塘下镇百家尖杨圣观 浙江省温州市瑞安市塘下镇百家尖杨圣观 正一

608 塘下镇鲍三杨圣观 浙江省温州市瑞安市塘下镇鲍三杨圣观 正一

609 塘下镇韩田太阴宫 浙江省温州市瑞安市塘下镇韩田太阴宫 正一

610 塘下镇胡公庙 浙江省温州市瑞安市塘下镇双桥村胡公庙 正一

611 塘下镇夏阴观 浙江省温州市瑞安市塘下镇场桥西河村夏阴观 正一

612 塘下镇杨陈府 浙江省温州市瑞安市塘下镇官渎村杨陈府 正一

613 塘下镇杨圣观 浙江省温州市瑞安市塘下镇上马村杨圣观 正一

614 塘下镇杨圣观 浙江省温州市瑞安市塘下镇前池村杨圣观 正一

615 塘下镇永安宫 浙江省温州市瑞安市塘下镇五方村永安宫 正一

616 塘下镇禹阴宫 浙江省温州市瑞安市塘下镇新坊村禹阴宫 正一

617 塘下镇玉皇观 浙江省温州市瑞安市塘下镇韩田村玉皇观 正一

618 汀田街道灵谷道院 浙江省温州市瑞安市汀田街道金前村 正一

619 塘下镇梁储观 浙江省温州市瑞安市塘下镇龟山村梁储观 正一

620 塘下镇梁阴观 浙江省温州市瑞安市塘下镇鲍一村梁阴观 正一

621 塘下镇灵丰宫 浙江省温州市瑞安市塘下镇龟山村灵丰宫 正一

622 塘下镇许府观 浙江省温州市瑞安市塘下镇韩田村许府观 正一

623 陶山镇白岩山杨府观 浙江省温州市瑞安市陶山镇张染村 正一

624 陶山镇三港殿 浙江省温州市瑞安市陶山镇荣祥村 正一

625 陶山镇四石杨圣观 浙江省温州市瑞安市陶山镇陶山办事处四石村 正一

626 陶山镇杨圣观 浙江省温州市瑞安市陶山镇桐浦办事处沙岙村 正一

627 陶山镇玉皇观 浙江省温州市瑞安市陶山镇碧山办事处卧牛背 正一

628 仙降街道埭头太阴宫 浙江省温州市瑞安市仙降街道四甲村 正一

629 仙降街道方额底太阴宫 浙江省温州市瑞安市仙降街道方额底太阴宫 正一

630 仙降街道金光宫 浙江省温州市瑞安市仙降街道金光村 正一

631 仙降街道下林白旗宫 浙江省温州市瑞安市仙降街道下林村 正一

632 仙降街道下社宫 浙江省温州市瑞安市仙降街道办事处下社村 正一

633 仙降街道仙降仙乐宫 浙江省温州市瑞安市仙降街道仙降村 正一

634 莘塍街道忠烈观 浙江省温州市瑞安市莘塍街道办事处周田村 正一

635 玉海街道陈府观 浙江省温州市瑞安市玉海街道后垟东路 正一

636 莘塍街道洪岩观 浙江省温州市瑞安市莘塍街道办事处中村 正一

637 莘塍街道华表太阴宫 浙江省温州市瑞安市莘塍街道办事处华表村 正一

