湖 南（955座）


序号 宫观名称 地址 派别

1 陶公庙 湖南省长沙市长沙县榔梨镇榔梨社区 全真

2 李公庙 湖南省长沙市长沙县星沙街道办事处筒灰村 全真

3 河图观 湖南省长沙市长沙县安沙镇鳌鱼村 全真

4 天竺山 湖南省长沙市长沙县安沙镇花桥村 全真

5 老君殿 湖南省长沙市长沙县安沙镇三合村 全真

6 上华山 湖南省长沙市长沙县白沙乡上华山村 全真

7 花果园 湖南省长沙市长沙县果园区镇花果村 全真

8 紫云宫 湖南省长沙市长沙县高桥镇凤山村 全真

9 东岳宫 湖南省长沙市开福区湘雅路东岳宫巷 正一

10 财神庙 湖南省长沙浏阳市大瑶镇瑶发街 正一

11 陈真人观 湖南省长沙浏阳市大围山镇大围山森林公园 全真

12 祖师岩昭显真人庙 湖南省长沙浏阳市沿溪镇东远路 全真

13 赤马殿 湖南省长沙浏阳市沙市镇赤马村 正一

14 隐真观 湖南省长沙浏阳市汤家坡双前村 正一

15 毛坪龙王宫  湖南省长沙浏阳市澄潭江镇毛坪村 正一

16 婴桃观 湖南省长沙浏阳市龙伏镇焦桥村 正一

17 升冲观 湖南省长沙市浏阳市圭斋路 全真

18 青阳山道院 湖南省长沙浏阳市城西社区青阳15号 全真

19 云麓宫 湖南省长沙市岳麓区岳麓山风景名胜区 正一

20 灵宝观 湖南省常德市安乡县黄山头镇国家森林公园 全真

21 荷花观 湖南省常德市安乡县安文乡兴隆村 全真

22 三圣庙 湖南省常德市津市市汪家桥澹津村 正一

23 北台寺 湖南省常德市津市市棠华乡民主村 正一

24 三圣老庙 湖南省常德市津市市汪家桥街道澹津村 正一

25 中武当 湖南省常德市津市市襄阳街办事处大同社区 正一

26 善德观 湖南省常德市德山经开区善德观 全真

27 八角庙 湖南省常德市澧县大坪乡大兴村 全真

28 玉皇宫 湖南省常德市澧县涔南乡和平村 全真

29 天皇庙 湖南省常德市澧县永丰乡三岭村 全真

30 红庙 湖南省常德市澧县小渡口镇中垸村 全真

31 张家庙道观 湖南省常德市澧县垱市镇青云村 全真

32 曹公庙 湖南省常德市澧县车溪乡大河村 正一

33 金凤观 湖南省常德市临澧县佘市桥镇泉水村 全真

34 玉皇观 湖南省常德市临澧县柏枝乡石墨村 全真

35 古圣观 湖南省常德市临澧县杨板乡云林村 全真

36 木山寺 湖南省常德市桃源县佘家坪乡前山桥村 正一

37 九龙观 湖南省常德市桃源县浯溪河乡九龙山村 全真

38 星子宫 湖南省常德市桃源县热市镇菖蒲村 全真

39 仙峰山庙 湖南省常德市桃源县三阳镇两叉港村、太平桥 正一

40 五台山庙 湖南省常德市桃源县深水港乡金雁村、三阳镇 正一

41 天地佛庙 湖南省常德市桃源县漳江镇大理坪村 正一

42 兴隆山庙 湖南省常德市桃源县三阳镇黄土坪村 正一

43 观山湖仙山庙 湖南省常德市桃源县沙坪镇沙坪村 正一

44 龙王庙 湖南省常德市桃源县车湖垸芭溪村 正一

45 骑龙山庙 湖南省常德市桃源县佘家坪乡方田峪村 正一

46 观音居士庙 湖南省常德市桃源县架桥镇架桥村 正一

47 云盘山庙 湖南省常德市桃源县深水港乡红坪村、金岩村 正一

48 燕子山庙 湖南省常德市桃源县泥窝潭乡座河堰村 正一

49 双桂山庙 湖南省常德市桃源县双溪口乡双桂村 正一

50 道乐山庙 湖南省常德市桃源县浯溪河乡金牛场村 正一

51 蕲龙山庙 湖南省常德市桃源县漆河镇铁佛寺村 正一

52 黄柏山庙 湖南省常德市桃源县太平桥乡黄柏山村 正一

53 水口山庙 湖南省常德市桃源县漆河镇列甲桥村 正一

54 东岳宫 湖南省常德市桃源县热市镇汤口村 正一

55 灵泉寺 湖南省常德市桃源县热市镇凤鸣村 正一

56 龙仙山庙 湖南省常德市桃源县热市镇粟坪村 正一

57 龙珠山庙 湖南省常德市桃源县双溪口乡岗陵村 正一

58 灵岩山庙 湖南省常德市桃源县黄甲铺乡灵岩村 正一

59 仙人山庙 湖南省常德市桃源县漆河镇仙人山居委会 正一

60 紫金仙山庙  湖南省常德市桃源县黄甲铺乡黄甲铺村 正一

61 青林乡、浯溪河乡风雨仙山庙 湖南省常德市桃源县青林乡茨树垭村、浯溪河 正一

62 金龙仙山庙 湖南省常德市桃源县郝坪乡暴家村 正一

63 青云山龙王庙 湖南省常德市桃源县太平桥乡中心村 全真

64 真如庙 湖南省常德市桃源县双溪口乡福善岗村 正一

65 天会仙山庙 湖南省常德市桃源县郝坪乡天会村 正一

66 荷仙岩庙 湖南省常德市桃源县泥窝潭乡牛车磴村 正一

67 白云山庙 湖南省常德市桃源县泥窝潭乡官宦坪村 正一

68 云霞山庙 湖南省常德市桃源县泥窝潭乡古岩峪村 正一

69 燕岩庙 湖南省常德市桃源县泥窝潭乡燕岩庙村 正一

70 黄金庙 湖南省常德市桃源县郝坪乡茅草铺村 正一

71 金鸡山庙 湖南省常德市桃源县泥窝潭乡青龙山村 正一

72 玉龙州庙 湖南省常德市桃源县泥窝潭乡集镇村 正一

73 明镜仙山庙 湖南省常德市桃源县沙坪金明村、杨溪桥罗坪 正一

74 金鸽观 湖南省常德市桃源县九溪乡九溪村 正一

75 宝龙仙山庙 湖南省常德市桃源县九溪乡红埂坪村 正一

76 天宝山庙 湖南省常德市桃源县九溪乡笔架山村 正一

77 白云仙山庙 湖南省常德市桃源县沙坪镇沙帽庄村、郑驿乡 正一

78 白龙山庙 湖南省常德市桃源县热市镇温泉村 正一

79 伏波宫 湖南省常德市桃源县凌津滩镇穿石村 正一

80 玉皇仙山庙 湖南省常德市桃源县双溪口乡阳雀村 正一
