湖 北（642座）


序号 宫观名称 地址 派别

1 葛洪观 湖北省鄂州市鄂城区西山街办小桥村 正一

2 聚善观 湖北省鄂州市葛店开发区葛店镇下街 正一

3 九洲古刹 湖北省鄂州市华容区蒲团乡大庙村 正一

4 普化观 湖北省鄂州市鄂城区碧石镇碧石村 正一

5 道仙官 湖北省鄂州市鄂城区新庙镇洪港村 正一

6 云凌观 湖北省鄂州市鄂城区沙窝乡渔坝村 正一

7 桃花道观 湖北省黄冈市红安县永佳河镇桃花村 全真

8 雄狮道观 湖北省黄冈市红安县七里坪镇檀树乡大斛山 全真

9 药王道观 湖北省黄冈市红安县城关镇李义店村 全真

10 慈航道观 湖北省黄冈市红安县杏花乡星光村 全真

11 三兴观 湖北省黄冈市红安县太平桥张文治武功龙村 全真

12 老君山道观 湖北省黄冈市红安县华河镇熊河村 全真

13 诸仙阁道观 湖北省黄冈市红安县建苏村 全真

14 云界寺 湖北省黄冈市红安县华河镇邓桥村 全真

15 九峰观 湖北省黄冈市红安县华河镇邓桥村 全真

16 八角寺庙 湖北省黄冈市红安县八里湾镇总和司村 全真

17 包公庙 湖北省黄冈市红安县杏花乡刘河村 全真

18 泰源观 湖北省黄冈市黄梅县黄梅镇泰源观 全真

19 黄龄古洞 湖北省黄冈市黄梅县大河镇黄龙潭 全真

20 万福庙 湖北省黄冈市黄梅县大河镇花园村 全真

21 观音岩 湖北省黄冈市黄梅县大河镇袁山村 全真

22 邹家洞 湖北省黄冈市黄梅县五祖镇白羊村 全真

23 炎帝庙 湖北省黄冈市黄梅县孔垅镇马坊口村 全真

24 观音庵 湖北省黄冈市黄梅县孔垅镇张河村 全真

25 陶公庙 湖北省黄冈市黄梅县下新镇张英楼村 全真

26 高山庙 湖北省黄冈市黄梅县独山镇柯思湖村 全真

27 中路庵 湖北省黄冈市黄梅县濯港镇太白湖中垸村 全真

28 关帝庙 湖北省黄冈市黄梅县新开镇六咀村 全真

29 九莲庵 湖北省黄冈市黄梅县新开镇四房墩村 全真

30 清风宫 湖北省黄冈市黄梅县分路镇香世庵村 全真

31 望江寺 湖北省黄冈市黄梅县蔡山镇曹坝村 全真

32 万全宫 湖北省黄冈市黄梅县柳林乡万全宫 全真

33 大洋庙 湖北省黄冈市黄梅县大河镇大庙村 全真

34 西华观 湖北省黄冈市黄梅县苦竹乡蛋子岭村 全真

35 黄仙观 湖北省黄冈市罗田县骆驼坳镇田铺塆村 全真

36 文昌阁 湖北省黄冈市罗田县骆驼坳镇彭家圈村 全真

37 贞武观 湖北省黄冈市罗田县骆驼坳镇河铺村 全真

38 金阙宫 湖北省黄冈市罗田县九资河镇圣人堂村4组 全真

39 三真观 湖北省黄冈市罗田县大崎乡曾家山村 全真

40 排衙山道观 湖北省黄冈市罗田县凤山镇十里铺村6组 全真

41 柳仙观 湖北省黄冈市罗田县白莲河乡张家山村15组 全真

42 帝主庙 湖北省黄冈市麻城市五脑山森林公园 全真

43 蔡家庙 湖北省黄冈市麻城市盐田河镇蔡家冲村 全真

44 宋埠镇东岳庙 湖北省黄冈市麻城市宋埠镇彭店村 全真

45 海岳庙 湖北省黄冈市麻城市岐亭镇小南门 全真

46 清华观 湖北省黄冈市麻城市白果镇姜铺村 全真

47 护圣宫 湖北省黄冈市麻城市夫子河镇土库村 全真

48 钓鱼台 湖北省黄冈市麻城市阎河镇钓鱼台村 全真

49 庵静堂 湖北省黄冈市麻城市宋埠镇饭店街23号 全真

50 普安寺 湖北省黄冈市麻城市宋埠镇饭店街21号 全真

51 钟山寺 湖北省黄冈市麻城市三河口水库 全真

52 三仙宫 湖北省黄冈市麻城市白果镇张狮脑村 全真

53 天竺寺 湖北省黄冈市麻城市龟山乡鲍家墩村 全真

54 沙府庙 湖北省黄冈市麻城市白果镇柞树铺村 全真

55 普济寺 湖北省黄冈市麻城市盐田河镇栗阳河村 全真

56 青莲观 湖北省黄冈市麻城市乘马岗镇王福店村 全真

57 凤到山庙 湖北省黄冈市麻城市顺河镇朝阳店村 全真

58 三星东岳府 湖北省黄冈市麻城市盐田河镇杨家冲村 全真

59 腾云观 湖北省黄冈市麻城市铁门岗乡陶家寨 全真

60 静月宫 湖北省黄冈市麻城市五脑山森林公园 全真

61 石灵观 湖北省黄冈市蕲春县狮子镇灯龙垸村 全真

62 怀林庵 湖北省黄冈市蕲春县张榜镇田六村 全真

63 关帝庙 湖北省黄冈市蕲春县横车镇盘石桥村 全真

64 南门道观 湖北省黄冈市蕲春县蕲州镇南门村 全真

65 丹霞观 湖北省黄冈市蕲春县大同镇操山村 全真

66 慈化观 湖北省黄冈市蕲春县彭思镇王铺村 全真

67 雨口庵 湖北省黄冈市蕲春县刘河镇金郁社区 全真

68 马大将军庙 湖北省黄冈市蕲春县刘河镇刘河村 全真

69 九龙宫 湖北省黄冈市蕲春县横车镇界岭村 全真

70 承天观 湖北省黄冈市蕲春县管窑镇岚头矶村 全真

71 东狱府 湖北省黄冈市蕲春县大同镇小竹冲村 全真

72 藏经阁 湖北省黄冈市蕲春县蕲州镇郦公园居委会 全真

73 东岳府（含城隍庙） 湖北省黄冈市蕲春县漕河镇团石头村 全真

74 正觉观 湖北省黄冈市蕲春县青石镇杨垸村 全真

75 慈云观 湖北省黄冈市蕲春县狮子镇东山村  全真

76 紫金观 湖北省黄冈市蕲春县檀林镇横山头村 全真

77 卧龙庙 湖北省黄冈市蕲春县刘河镇飞跃村 全真

78 九清宫 湖北省黄冈市蕲春县蕲州镇打鼓台村 正一

79 玉皇宫（含城隍庙） 湖北省黄冈市蕲春县蕲州镇二里湖大道 全真

80 晃石洞 湖北省黄冈市蕲春县大同镇何铺村 全真

81 天瑞庵 湖北省黄冈市蕲春县株林镇泡桐树村 全真

82 白鹤观 湖北省黄冈市蕲春县八里湖白堰大队 全真

83 白云观 湖北省黄冈市蕲春县大同镇仙人台 全真

84 普阳观 湖北省黄冈市蕲春县漕河镇何大垸村 全真

85 纯阳阁 湖北省黄冈市蕲春县蕲州镇北门村 全真

86 靖明观（含天宝宇都观） 湖北省黄冈市蕲春县漕河镇洪祖二村 全真

87 观音阁 湖北省黄冈市蕲春县赤东镇童畈村 全真

88 普福观 湖北省黄冈市蕲春县蕲州镇恒丰村 全真

89 顺元观 湖北省黄冈市蕲春县狮子镇鲇鱼地村 全真

90 团风县方高坪镇青松观 湖北省黄冈市团风县方高坪镇林场 全真

91 团风县淋山河镇白庙观 湖北省黄冈市团风县淋山河镇程湾村 全真

92 团风县淋山河镇白云观 湖北省黄冈市团风县淋山河镇龙王村 全真

93 团风县方高坪镇恒河宫 湖北省黄冈市团风县方高坪镇宋墙村 全真

94 团风县团风镇真武观 湖北省黄冈市团风县团风镇花园村 全真

95 团风县贾庙乡观音道观 湖北省黄冈市团风县贾庙乡正街 全真

96 团风县回龙山镇观音道观 湖北省黄冈市团风县贾庙乡熊家山村 全真

97 团风县团风镇古云观 湖北省黄冈市团风县团风镇江宇村 全真

98 团风县马曹庙镇朝天观 湖北省黄冈市团风县马曹庙镇刘家冲村 全真

99 团风县方高坪镇一峰观 湖北省黄冈市团风县方高坪镇汤铺岭村 全真

100 团风县方高坪镇道兴观 湖北省黄冈市团风县方高坪镇柴坳村 全真

101 团风县团风镇观音阁 湖北省黄冈市团风县团风镇崩坡路 全真

102 团风县但店镇紫霞宫 湖北省黄冈市团风县但店镇但店村 全真

103 湖北省武穴市童司宫 湖北省黄冈市武穴市花桥镇童司牌村童司牌街. 全真

104 湖北省武穴市吕祖观 湖北省黄冈市武穴市花桥镇郭大垸村吕祖观 全真

105 湖北省武穴市玉皇阁 湖北省黄冈市武穴市花桥镇饶山村玉皇阁 全真

106 湖北省武穴市万寿宫 湖北省黄冈市武穴市武穴街道刘家巷社区 全真

107 湖北省武穴市下马观 湖北省黄冈市武穴市刊江办事处魏垸村果园场 全真

108 湖北省武穴市迎恩宫 湖北省黄冈市武穴市石佛寺镇朱华村 全真

109 湖北省武穴市长庆宫 湖北省黄冈市武穴市余川镇周国村 全真

110 湖北省武穴市灵觉宫 湖北省黄冈市武穴市花桥镇菱角塘村 全真

111 湖北省武穴市雨场观 湖北省黄冈市武穴市花桥镇雨场山村雨场观 全真

112 普济观 湖北省黄冈市浠水县清泉镇十月村 全真

113 慈灵观 湖北省黄冈市浠水县关口镇四鸡山村 全真

114 天骝观 湖北省黄冈市浠水县汪岗镇蔡凉亭村 全真

115 天仙观 湖北省黄冈市浠水县汪岗镇天子岙村 全真

116 杨泗庙 湖北省黄冈市浠水县巴河镇杨泗庙街 全真

117 太子庙 湖北省黄冈市浠水县洗马镇姜堰村 全真

118 城角都殿 湖北省黄冈市浠水县蔡河镇城角村 全真

119 二龙宫 湖北省黄冈市浠水县洗马镇接令桥村 全真

120 赛帝庙 湖北省黄冈市浠水县团陂镇蔡井村 全真

121 大仕阁 湖北省黄冈市浠水县清泉镇十月村 全真

122 三圣宫 湖北省黄冈市浠水县汪岗镇瓦铺冲村 全真

123 豹龙庙 湖北省黄冈市浠水县关口镇豹龙庙村 全真

124 龙 宫 湖北省黄冈市浠水县清泉镇拔炉山村 全真

125 龙珠古刹（含药王庙） 湖北省黄冈市浠水县洗马镇燕毛咀村 全真

126 金圣观 湖北省黄冈市浠水县洗马镇洗马畈村 全真

127 红莲观音阁 湖北省黄冈市浠水县散花镇红莲巢村 全真

128 长安庙 湖北省黄冈市浠水县竹瓦镇长安村 全真

129 玉皇庙 湖北省黄冈市浠水县蔡河镇玉皇庙村六组 全真

130 太平宫 湖北省黄冈市浠水县关口镇歇坳村 全真

131 斗姥宫 湖北省黄冈市浠水县巴河镇长港村 全真

132 老君庙 湖北省黄冈市浠水县蔡河镇晶山村9组 全真

133 玄都观 湖北省黄冈市浠水县清泉镇神山村 全真

