甘 肃（615所）


序号 宫观名称 地址 派别

1 北龙观 甘肃省白银市靖远县东升乡红湾村 全真

2 青龙山雨雾观 甘肃省白银市靖远县东湾镇杨柳村 全真

3 乌兰山道观 甘肃省白银市靖远县乌兰镇城关村 全真

4 法界观 甘肃省白银市靖远县乌兰镇东关村 全真

5 朝云观 甘肃省白银市靖远县高湾乡二百户村 全真

6 县城隍庙 甘肃省白银市靖远县乌兰镇西关村 全真

7 玉灵观 甘肃省白银市靖远县北湾镇中堡村 全真

8 九龙山玉云观 甘肃省白银市靖远县高湾乡葛淌村 全真

9 竹林山道观 甘肃省白银市靖远县高湾乡贾崖村 全真

10 伏龙山道观 甘肃省白银市靖远县东升乡二队村 全真

11 万灵山三清宫 甘肃省白银市靖远县兴隆乡大庙村 全真

12 苁蓉山道观 苁蓉山道观 全真

13 回龙山道观 甘肃省白银市靖远县北滩乡大红沟村 全真

14 双龙山道观 甘肃省白银市靖远县大芦乡中砂沟村 全真

15 中川紫云观 甘肃省白银市靖远县高湾乡文崖村 全真

16 乳育山道观 甘肃省白银市靖远县高湾乡三场村 全真

17 莲花池道观 甘肃省白银市靖远县若笠乡曹岘村 全真

18 日月风龙山道观 甘肃省白银市靖远县高湾乡文崖村 全真

19 青龙观 甘肃省白银市靖远县东湾镇杨柳村 全真

20 五龙山 甘肃省白银市靖远县高湾乡住寨村 全真

21 玉灵观 甘肃省白银市靖远县东湾镇红柳村 全真

22 清源山 甘肃省白银市靖远县三滩乡中一村 全真

23 久经山 甘肃省白银市靖远县东湾镇大坝村 全真

24 九龙山道观 甘肃省白银市靖远县大芦乡小芦村 全真

25 三清殿 甘肃省白银市景泰县芦阳镇 全真

26 祥云观 甘肃省白银市景泰县一条山镇公园 全真

27 北武当山道观 甘肃省白银市平川区水泉镇中村 全真

28 青龙山芙蓉观 甘肃省白银市平川区宝积乡周家地村 全真

29 接云观 甘肃省白银市平川区共和镇中和村 全真

30 显云观  甘肃省白银市平川区共和镇小水村 全真

31 药应山道观 甘肃省白银市平川区共和镇红沟村 全真

32 玉虚观道教活动点 甘肃省白银市平川区种田乡拉排村 全真

33 龙凤山道教活动点 甘肃省白银市平川区共和镇兄弟村 全真

34 双盘龙卧云山道教活动点 甘肃省白银市平川区共和镇西合村  全真

35 泉龙山道教活动点 甘肃省白银市平川区长征街道铁路社区 全真

36 云台山道教活动点 甘肃省白银市平川区黄峤乡神木头村 全真

37 西雨山五龙观道教活动点 甘肃省白银市平川区王家山镇大营水村 全真

38 生龙山显云观 甘肃省白银市平川区黄峤乡双铺村 全真

39 金锁关圣龙山道观 甘肃省白银市平川区水泉镇水泉村 全真

40 金凤观 甘肃省白银市平川区黄峤乡马饮水村 全真

41 龙虎山玄云观道教活动点 甘肃省白银市平川区宝积乡响泉村 全真

42 定西市安定区石峡湾长寿山石宫观 甘肃省定西市安定区石峡湾景子岔村中山社 全真

43 城隍庙 甘肃省定西市临洮县洮阳镇东街村椒山社区 全真

44 临洮县站滩乡玉皇阁道观 甘肃省定西市临洮县站滩乡井儿沟村 全真

45 临洮县岳麓山道观 甘肃省定西市临洮县洮阳镇东街村岳麓山地母 全真

46 临洮县翠林山道观 甘肃省定西市临洮县辛店镇里头沟里头沟社 全真

47 陇西县首阳镇关帝庙 甘肃省定西市陇西县首阳镇小堡子村 全真

48 陇西县巩昌镇汪家洞祖师庙 甘肃省定西市陇西县巩昌镇六一村鼓楼社 全真

49 陇西县巩昌镇仁寿山三清殿 甘肃省定西市陇西县巩昌镇六一村仁寿山公园  全真

50 陇西县巩昌镇家宫殿祖师庙 甘肃省定西市陇西县巩昌镇红星村七队 全真

51 陇西县巩昌镇南山关帝庙 甘肃省定西市陇西县巩昌镇红星村七队 全真

52 陇西县巩昌镇周家庄雨施宫 甘肃省定西市陇西县巩昌镇红星村周家庄社 全真

53 陇西县云田北川太白寺 甘肃省定西市陇西县云田镇安家咀村 全真

54 陇西县福星镇后凤山聚龙寺 甘肃省定西市陇西县福星镇种河村 全真

55 陇西县通安凤凰山大音菩萨庙 甘肃省定西市陇西县通安驿镇马河村 全真

56 岷县维新乡红莲寺 甘肃省定西市岷县维新乡卓坪村红台社 全真

57 岷县岷阳镇二郎山道教寺院 甘肃省定西市岷县岷阳镇二郎山 全真

58 渭源县会川镇龙王宫 甘肃省定西市渭源县会川镇本庙村 全真

59 渭源县会川镇太白山宫观 甘肃省定西市渭源县会川镇半阴坡村 全真

60 渭源县会川镇娘娘山宫观 甘肃省定西市渭源县会川镇新城村 全真

61 渭源县莲峰镇首阳山清圣祠 甘肃省定西市渭源县莲峰镇响唐沟村 全真

62 渭源县清源镇老君山宫观 甘肃省定西市渭源县清源镇上磨村 全真

63 渭源县莲峰镇马鹿山皇洞 甘肃省定西市渭源县莲峰镇古迹坪村 全真

64 拉卜楞关帝庙 甘肃省甘南藏族自治州夏河县拉卜楞镇关帝庙 全真

65 敦煌市西云观 甘肃省酒泉市敦煌市七里镇白马塔村 全真

66 敦煌市老君堂 甘肃省酒泉市敦煌市莫高镇敦千公路25公里 全真

67 南岔镇九北老疙瘩庙 甘肃省酒泉市瓜州县南岔镇九北村北则 全真

68 金塔县三元道观 甘肃省酒泉市金塔县羊子湾乡双古城村 全真

69 安宁区祖师殿 甘肃省兰州市安宁区安宁堡街道仁寿山公园 全真

70 城关区太清宫 甘肃省兰州市城关区临夏路街道临夏路323 全真

71 城关区金花道观 甘肃省兰州市城关区段家滩834号 全真

72 城关区志公观 甘肃省兰州市城关区红泥沟115号 全真

73 城关区白云观 甘肃省兰州市城关区南滨河东路987号 全真

74 城关区徐家山隍庙 甘肃省兰州市城关区徐家山公园内 全真

75 红古区红古乡海慈宫 甘肃省兰州市红古区红古乡红古村 全真

76 红古区平安镇太平观 甘肃省兰州市红古区平安镇河湾村 全真

77 红古区矿区无量殿 甘肃省兰州市红古区矿区街道下窑村 全真

78 红古区矿区太上宫 甘肃省兰州市红古区矿区街道山根村 全真

79 红古区窑街玉真观 甘肃省兰州市红古区窑街街道上街村 全真

80 红古区平安镇泰和宫 甘肃省兰州市红古区平安镇仁和村 全真

81 红古区平安镇永乐宫 甘肃省兰州市红古区平安镇张家寺村 全真

82 七里河区极寿山祖师殿 甘肃省兰州市七里河区崔家崖村东堡子山头 全真

83 七里河区崔家崖上白云观 甘肃省兰州市七里河区崔家崖村 全真

84 七里河区八里镇药王洞 甘肃省兰州市七里河区八里镇五里铺87号 全真

85 七里河区金天观 甘肃省兰州市七里河区华林路1号 全真

86 七里河区落安山金花宫 甘肃省兰州市七里河区魏岭乡海家岭村 全真

87 七里河区牟家坪观音殿 甘肃省兰州市七里河区彭家坪镇牟家坪村 全真

88 七里河区土门墩圣母宫 甘肃省兰州市七里河区彭家坪镇土门墩村 全真

89 七里河区双龙观 甘肃省兰州市七里河区八里镇二十里铺村 全真

90 西固区坡底下祖师殿 甘肃省兰州市西固区东川镇坡底下村 全真

91 西固区陈坪街道方神庙 甘肃省兰州市西固区陈坪街道小坪村土沟洼 全真

92 西固区四季青街道天王庙 甘肃省兰州市西固区四季青街道光月山村 全真

93 西固区达川祖师殿 甘肃省兰州市西固区达川乡 全真

94 西固区陈坪街道纯阳宫 甘肃省兰州市西固区陈坪街道范坪村 全真

95 西固区柳泉乡土主庙 甘肃省兰州市西固区柳泉乡歇家坡 全真

96 西固区陈坪街道东湾祖师殿 甘肃省兰州市西固区陈坪街道东湾村 全真

97 西固区临洮街城隍庙 甘肃省兰州市西固区临洮街街道寺儿沟社区 全真

98 西固区东川镇玄女庙 甘肃省兰州市西固区东川镇东河湾村 全真

99 西固区新城镇金花仙姑大殿 甘肃省兰州市西固区新城镇园艺村 全真

100 西固区新城镇老君庙 甘肃省兰州市西固区新城镇新联村 全真

101 西固区新城镇菩萨殿 甘肃省兰州市西固区新城镇青春村  全真

102 西固区桃园村圣母宫 甘肃省兰州市西固区桃园村 全真

103 永登县城关镇仁寿山全真观 甘肃省兰州市永登县城关镇南街村 全真

104 永登县城关镇香炉山全真观 甘肃省兰州市永登县城关镇高家湾村 全真

105 永登县清泉山全台观 甘肃省兰州市永登县通远乡青岭村  全真

106 永登县城关镇青龙观 甘肃省兰州市永登县城关镇青龙山公园 全真

107 榆中县龙泉寺圣母殿 甘肃省兰州市榆中县龙泉乡骡子滩村 全真

108 榆中县兴隆山道观 甘肃省兰州市榆中县兴隆山 全真

109 榆中县万眼泉王母宫 甘肃省兰州市榆中县定远镇冯家湾村 全真

110 榆中县青城城隍庙 甘肃省兰州市榆中县青城镇青城村 全真

