福 建（918座）



序号    宫观名称                                地址                              派别

1 福州塔亭临水陈太后祖殿 福建省福州市仓山区塔亭路6号 正一

2 福州童兴堂 福建省福州市仓山区仓山镇联建村 正一

3 福州盖山九门局九仙宫 福建省福州市仓山区盖山镇吴山村293号 正一

4 福州盘屿劝善庵 福建省福州市仓山区红星农场山道村 正一

5 福州洪塘妙峰三帝行台 福建省福州市仓山区建新洪塘下境105号 正一

6 福州乾元张真君殿 福建省福州市仓山区螺洲乾元村 正一

7 福州藤山三圣王庙 福建省福州市仓山区上三路249号 正一

8 福州望北台真武庙 福建省福州市仓山区上渡柏岭里33号 正一

9 福州闽王庙 福建省福州市仓山区上渡路153号 正一

10 福州汉闽越王庙 福建省福州市仓山区下渡工农路313号 正一

11 福州白泉庵 福建省福州市仓山区仓山镇先农村 正一

12 福州小巷合堂府 福建省福州市仓山区周厝巷26号 正一

13 长乐仙高龙头山天医府 福建省福州市长乐市金峰镇仙高村 正一

14 长乐梅花调羹境林位宫 福建省福州市长乐市梅花镇梅城村 正一

15 长乐大祉东林庙 福建省福州市长乐市松下镇大祉村 正一

16 长乐山前鹿山观 福建省福州市长乐市松下镇山前村 正一

17 长乐东林竹兰宫 福建省福州市长乐市罗联乡东林村 正一

18 长乐路顶厚安宫 福建省福州市长乐市漳港街道路顶村 正一

19 长乐岭南仙君观 福建省福州市长乐市潭头镇岭南村 正一

20 长乐首祉御国宫 福建省福州市长乐市松下镇首祉村 正一

21 长乐玉田瑞云宫 福建省福州市长乐市玉田镇玉田村 正一

22 长乐金峰华刘祠堂下通天府 福建省福州市长乐市金峰镇华刘村 正一

23 长乐金峰凤井观 福建省福州市长乐市金峰镇凤井村 正一

24 福清江阴金峰镜 福建省福州市福清市江阴镇何厝村岭兜 正一

25 福清新厝东岳庙 福建省福州市福清市新厝镇双屿村过桥山 正一

26 福清江阴闲居庙 福建省福州市福清市江阴镇潘厝村坑底 正一

27 福清江阴广济庙 福建省福州市福清市江阴镇后陈村汕头岭 正一

28 福清江阴五峰庙 福建省福州市福清市江阴镇垅北村 正一

29 福清江阴东岳庙 福建省福州市福清市江阴镇龙门村 正一

30 福清江阴石帆宫 福建省福州市福清市江阴镇门口村 正一

31 福清江阴妈祖宫 福建省福州市福清市江阴镇何厝村钱塘 正一

32 福清新厝武当别院 福建省福州市福清市新厝镇蒜岭村 正一

33 福清音西千秋宫 福建省福州市福清市音西街道 正一

34 福清城头天台宫 福建省福州市福清市城头镇吉钓寺 正一

35 福清港头三相宫 福建省福州市福清市港头镇岭头村 正一

36 福清石竹山道院 福建省福州市福清市石竹山 正一

37 福清宏路圣来庙 福建省福州市福清市宏路街道 正一

38 福清宏路董坪观 福建省福州市福清市宏路东坪 正一

39 福清龙江南涧宫 福建省福州市福清市龙江街道下梧村水南自然 正一

40 福清龙山福清玉屏西涧宫刹峰宫 福建省福州市福清市龙山街道玉峰村 正一

41 福清玉屏西涧宫 福建省福州市福清市龙江文化广场旁 正一

42 福清龙山天后宫 福建省福州市福清龙山街道瑞亭村利桥 正一

43 福清海口城隍庙 福建省福州市福清市海口镇城里村 正一

44 福清海口凤林院 福建省福州市福清市海口镇前村 正一

45 福清玉屏万寿境 福建省福州市福清市玉屏街道参府前108号 正一

46 福清龙山竹溪宫 福建省福州市福清市龙山街道竹溪路 正一

47 福清渔溪虞雄将军纪念堂 福建省福州市福清市渔溪镇原旧市场 正一

48 福清渔溪福兴宫 福建省福州市福清市渔溪镇红山村鼎灶下 正一

49 福清渔溪九龙宫 福建省福州市福清市渔溪镇山东海村 正一

50 福清渔溪回龙宫 福建省福州市福清市渔溪镇侨丰村 正一

51 福清渔溪善心堂 福建省福州市福清市渔溪镇上张村林泉 正一

52 福清江阴勅封灵应宫 福建省福州市福清市江阴镇庄前村 正一

53 福清江阴海岸宫 福建省福州市福清市江阴镇莆头村 正一

54 福清江阴普光堂 福建省福州市福清市江阴镇沾泽村 正一

55 福清江阴龙塘宫 福建省福州市 正一

56 福清龙田云峰寺 福建省福州市福清市龙田镇玉峰村 正一

57 福清东张玉井庙 福建省福州市福清市东张镇玉井街 正一

58 福清江阴封神堂 福建省福州市福清市江阴镇北郭村 正一

59 福清江阴葛仙宫 福建省福州市福清市江阴镇北郭村山下 正一

60 福清江阴霞堂宫 福建省福州市福清市江阴镇庄前村前林 正一

61 福清高山西江堂 福建省福州市福清市高山西江村 正一

62 福清江镜兴庆观 福建省福州市福清市江镜镇林厝村蔡厝自然村 正一

63 福清三山西钟境 福建省福州市福清市三山镇钟厝村 正一

64 福清东翰西来观 福建省福州市福清市东翰陈庄村 正一

65 福清新厝绵山东宫 福建省福州市福清市新厝镇东刘村 正一

66 福清镜洋白豸宫 福建省福州市福清镜洋镇光荣村 正一

67 福清江镜泰山宫 福建省福州市江镜镇酒店村泰山宫 正一

68 福清江阴九鲤观 福建省福州市福清市江阴镇梨港村 正一

69 福清渔溪竹溪观 福建省福州市福清市渔溪镇苏田村 正一

70 福清镜洋榕庵观 福建省福州市福清市镜洋镇波兰村 正一

71 福清新厝尚阳书院 福建省福州市福清市新厝镇桥尾村 正一

72 福清新厝武圣庙 福建省福州市福清市新厝镇硋灶村 正一

73 福清新厝霞川宫 福建省福州市福清市新厝镇硋灶村 正一

74 福清渔溪九使宫 福建省福州市福清市渔溪镇街头双年路13号 正一

75 福清龙田太尉宫 福建省福州市福清市龙田西亭村 正一

76 福清江阴北郭堂 福建省福州市福清市江阴镇北郭村 正一

77 福清龙田登瀛宫 福建省福州市福清市龙田三村登瀛社龙前路西 正一

78 福清新厝灵溪宫 福建省福州市福清市新厝镇凤迹村 正一

79 福清江镜积仓宫 福建省福州市江镜镇玉桂村 正一

90 福清江镜龙兴胜境 福建省福州市福清江镜谢塘村 正一

