广 东（218所）
序号   宫观名称      地址        派别

1 东岳宫 广东省东莞市茶山镇东岳路101号 全真

2 东莞市大岭山马山庙 广东省东莞市大岭山镇马山风景区内 全真

3 东莞市海月岩古庙 广东省东莞市厚街镇涌口村 全真

4 郭都真人古观 广东省东莞市虎门镇白沙村 全真

5 东莞市新田岗玉皇观 广东省东莞市石龙镇西湖村新田岗 全真

6 东莞市纯阳古观 广东省东莞市万江区曦龙广场 全真

7 沙富道观 广东省佛山市顺德区勒流镇龙冲路富裕西村 全真

8 北帝庙 广东省广州市白云区石井街夏茅村广场 全真

9 纯阳观 广东省广州市海珠区新港西路漱珠岗 全真

10 黄大仙祠 广东省广州市荔湾区芳村百花路1号 全真

11 仁威祖庙 广东省广州市荔湾区龙津西路前直街22号 全真

12 都城隍庙 广东省广州市越秀区忠佑大街32号 全真

13 三元宫 广东省广州市越秀区应元路11号 全真

14 何仙姑庙 广东省广州市增城市小楼镇仙源路8号 全真

15 黄村灵应宫 广东省河源市东源县黄村镇梅陇村 全真

16 黄村龙兴庙 广东省河源市东源县黄村镇万禾村 全真

17 黄村天崇观 广东省河源市东源县黄村镇街镇 全真

18 骆湖水口神公庙 广东省河源市东源县骆湖镇下欧村 全真

19 仙塘大帝宫 广东省河源市东源县仙塘镇北冷水坑村 全真

20 崖婆石张公庙 广东省河源市东源县黄村镇祝岗村 全真

21 叶潭五显宫 广东省河源市东源县叶潭镇吉布村 全真

22 北楼关帝庙 广东省河源市和平县城北楼岗 全真

23 高溪庙 广东省河源市和平县合水镇兴径村牛岗坪 正一

24 林寨天后宫 广东省河源市和平县林寨镇新兴村 全真

25 下车紫微宫 广东省河源市和平县下车镇云丰村 全真

26 天后宫 广东省河源市连平县元善镇南湖村 全真

27 乌仙宫 广东省河源市连平县元善镇石龙村 全真

28 石坑华公庙 广东省河源市龙川县铁场镇桥头村 全真

29 佗城城隍庙 广东省河源市龙川县佗城镇中山街 全真

30 河源市源城区埔前关帝庙 广东省河源市源城区埔前圩镇老圩街21号 全真

31 河源市源城区天后宫 广东省河源市源城区源南镇双下村 全真

32 源城区东江和福礤七圣宫 广东省河源市源城区埔前镇坪围村西山 全真

33 东嶽宫 广东省河源市紫金县紫城镇黄金岭打砖窝 全真

34 古竹北帝庙 广东省河源市紫金县古竹镇沿江路 全真

35 金山北帝宫 广东省河源市紫金县紫城镇金山街 全真

36 九和天后宫 广东省河源市紫金县九和镇市围村 全真

37 三圣宫 广东省河源市紫金县凤安镇下石村 全真

38 慎田北帝宫 广东省河源市紫金县龙窝镇慎田村 全真

39 书田天后宫 广东省河源市紫金县乌石镇书田村 全真

40 天崇道观 广东省河源市紫金县乌石镇张公庙 全真

41 天师观 广东省河源市紫金县紫城镇升平村官山嶂 全真

42 紫金观 广东省河源市紫金县紫城镇安良片 全真

43 广东省罗浮山冲虚古观 广东省惠州市博罗县罗浮山风景名胜区内 全真

44 博罗县柏塘镇协天宫 广东省惠州市博罗县柏塘镇柑里嶂 全真

45 博罗县公庄镇天后宫 广东省惠州市博罗县公庄镇窝辽下村 全真

46 博罗县观音阁镇观音庙 广东省惠州市博罗县观音阁镇圩镇 全真

47 博罗县龙华镇陈孝女祠 广东省惠州市博罗县龙华镇圩镇 全真

48 博罗县龙溪镇协天宫 广东省惠州市博罗县龙溪镇宫庭村 全真

49 博罗县罗浮山茶山观 广东省惠州市博罗县罗浮山 全真

50 博罗县罗浮山何仙观 广东省惠州市博罗县罗浮山 全真

51 博罗县罗浮山黄龙宫 广东省惠州市博罗县罗浮山 全真

52 博罗县罗浮山黄龙古观

广东省惠州市博罗县罗浮山 全真

53 博罗县罗浮山酥醪观 广东省惠州市博罗县罗浮山酥醪村 全真

54 博罗县罗浮山西华道院 广东省惠州市博罗县罗浮山 全真

55 博罗县罗阳镇东岳宫 广东省惠州市博罗县罗阳镇葫芦岭 全真

56 博罗县罗阳镇华光庙 广东省惠州市博罗县罗阳镇葫芦岭 全真

57 博罗县石坝圣母宫 广东省惠州市博罗县石坝镇三嘉村委会林屋村 全真

58 博罗县石坝镇蓝田天后宫 广东省惠州市博罗县石坝镇蓝田管理区 全真

59 博罗县泰美镇车村姚夫人庙 广东省惠州市博罗县泰美镇车村 全真

60 博罗县泰美镇三宫古观 广东省惠州市博罗县泰美镇老圩 全真

61 博罗县杨桥镇高凹天后宫 广东省惠州市博罗县杨桥镇大坑高凹村 全真

62 麻陂镇曲潭协天宫 广东省惠州市博罗县麻陂镇曲潭村 全真

63 惠州市惠城区汝湖镇仍图真君宫 广东省惠州市惠州市惠城区汝湖镇仍图南新大. 全真

64 惠州市惠城区汝湖镇玄天北帝庙 广东省惠州市惠城区汝湖镇圩镇 全真

65 惠州市惠城区元妙古观 广东省惠州市惠城区下角元妙古观8号 全真

66 惠东县大岭镇社岗祖庙 广东省惠州市惠东县大岭镇万松村社岗祖庙 正一

67 惠东县多祝镇天后宫 广东省惠州市惠东县多祝镇东街 正一

68 惠东县黄埠镇群英竹高岭三山国王天德宫 广东省惠州市惠东县黄埠镇群英竹高岭三山国 正一

69 惠东县黄埠镇盐洲海口妈祖庙 广东省惠州市惠东县黄埠镇盐洲海口妈祖庙 正一

70 惠东县吉隆镇南天观 广东省惠州市惠东县吉隆镇龙腾尾路10号 正一

71 惠东县梁化镇城隍庙 广东省惠州市惠东县梁化镇梁化屯 正一

72 惠东县梁化镇东岳庙 广东省惠州市惠东县梁化镇新龙街102号 正一

73 惠东县平海镇龙山观 广东省惠州市惠东县平海镇港口坳顶 正一

74 惠东县平山龙峰祖庙 广东省惠州市惠东县平山办事处九龙峰 正一

75 惠东县平山三王宫 广东省惠州市惠东县平山办事处金光社区 正一

76 惠东县稔山镇谭公观 广东省惠州市惠东县稔山镇范和村 正一

77 惠东县巽寮天后宫 广东省惠州市惠东县巽寮滨海旅游度假区巽寮 正一

78 惠阳区淡水镇三太子庙 广东省惠州市惠阳区淡水镇土湖村 全真

79 广东省惠州市龙门县永汉何仙姑庙 广东省惠州市龙门县永汉镇旱河 正一

80 开平市梁金道院 广东省江门市开平市梁金山公园 全真

81 台山市斗山浮石北极殿 广东省江门市台山市斗山镇浮石村委会后山 正一

82 广东省江门市新会紫云观 广东省江门市新会区会城紫云路68号 全真

83 北极古庙 广东省揭阳市惠来县隆江镇见龙村 全真

84 东仙观 广东省揭阳市惠来县神泉镇溪东村 全真

85 进德观 广东省揭阳市惠来县神泉镇澳角村 全真

86 龙藏洞赤松观 广东省揭阳市惠来县惠城镇毕田村 全真

87 清山岩 广东省揭阳市惠来县神泉镇芦园村 全真

88 三清阁 广东省揭阳市惠来县惠城梅二西坛顶 全真

89 太华宫 广东省揭阳市惠来县惠城镇英内社区北门外十 全真

90 玉皇宫 广东省揭阳市惠来县神泉镇蔗埔村 全真

91 玉清宫 广东省揭阳市揭东区锡场镇藤吊岭南 全真

92 揭阳空港经济区道教清修阁 广东省揭阳市空港经济区凤美办事处全美村 全真

93 天道观 广东省揭阳市空港区溪南办事处西寨村 全真

94 明善观 广东省揭阳市普宁市军埠镇何厝围村 全真

95 七星洞 广东省揭阳市普宁市高埔镇南屏岭 全真

96 三王古庙 广东省揭阳市普宁市流沙西街道白沙陇村 正一

97 善德观 广东省揭阳市普宁市流沙军埠镇笔架山罗陵肚 正一

98 秀龙古观 广东省揭阳市普宁市流沙镇东街道秀陇村 正一

99 紫云洞 广东省揭阳市普宁市大南山街道摩天石 全真

100 揭阳市华阳观 广东省揭阳市榕城区仙桥街道办事处高湖村 全真

101 揭阳市区北极古庙 广东省揭阳市榕城区北门武爷前横街14号 全真

102 揭阳市区道教娘宫观 广东省揭阳市榕城区东门直街 全真

103 揭阳市榕城区道教通玄观 广东省揭阳市榕城区仙桥街道办事处顶六村 全真

104 白庙 广东省茂名市电白区旦场镇青福村委会覃美村 正一

105 陈罗古庙 广东省茂名市电白区水东镇陈罗巷、陈罗坊 正一

106 大王古宫 广东省茂名市电白区水东镇附城盐灶村 正一

107 大衙福德庙 广东省茂名市电白区林头镇大衙西坑 全真

108 登楼天后宫 广东省茂名市电白区树仔镇登楼村 全真

109 福普庙 广东省茂名市电白区小良镇小良村 正一

110 三尊庙 广东省茂名市电白区坡心镇上吴村委 正一

111 圣仙庙 广东省茂名市电白区羊角镇共同村委田心村 正一

112 盛宁庙 广东省茂名市电白区旦场镇霞楼村村南面 正一

113 水福庙 广东省茂名市电白区沙院镇福兴村委 正一

114 水福庙 广东省茂名市电白区沙院镇福兴村委 正一

115 文武帝宫 广东省茂名市电白区羊角镇新城村委乌石岭 正一

116 仙姑庙 广东省茂名市电白区树仔镇下海尾村 正一

117 晏镜古庙 广东省茂名市电白区南海街道办晏镜村 正一

118 雨公山道院 广东省茂名市电白区七迳镇尼乔村委雨公岭 正一

119 真人古庙 广东省茂名市电白区七迳镇那楼村委田心村 正一

120 大王庙 广东省茂名市高州市石鼓镇石鼓岭 全真

121 飞龙山大庙 广东省茂名市高州市大坡镇大榕村飞龙山 全真

122 宫皇庙 广东省茂名市高州市石鼓镇南茂坡村 全真

123 潘仙观 广东省茂名市高州市小观山26号 全真

124 平云古庙 广东省茂名市高州市大坡镇平云山 全真

125 三仙庙 广东省茂名市高州市根子镇望楼岭 全真

126 玉皇庙 广东省茂名市高州市分界博位村 全真

127 竹坑文武庙 广东省茂名市高州市曹江镇凰村竹坑队 全真

128 北府宫 广东省茂名市化州市河西街道办第六社区居委 正一

129 东庆堂 广东省茂名市化州市东山街道办第三居委会大 正一

130 东岳楼 广东省茂名市化州市平定镇平定圩 正一

131 合江福田庙 广东省茂名市化州市合江镇塘口村委会 正一

132 南盛大庙 广东省茂名市化州市南盛街道办南盛圩 正一

133 七仙宫 广东省茂名市化州市河西街道办第六社区居委 正一

134 天帝庙 广东省茂名市化州市合江镇北岸嘴村委会塘秦. 正一

135 文楼坡大庙 广东省茂名市化州市文楼镇文楼村委会大庙边 正一

136 武帝庙 广东省茂名市化州市平定镇平定圩 正一

137 合水社大庙 广东省茂名市茂南区新坡镇合水管理区果子园 正一

138 龙岭玉皇庙 广东省茂名市茂南区高山镇龙岭村 正一

139 罗冼庙 广东省茂名市茂南区镇盛镇那梭村 正一

140 三帝宫 广东省茂名市茂南区金塘镇文村 正一

141 三帝庙 广东省茂名市茂南区袂花镇袂花圩 正一

142 四帝古庙 广东省茂名市茂南区公馆镇荔枝塘村 正一

143 文武帝侯王庙 广东省茂名市茂南区公馆镇油甘窝村 正一

144 白坡文昌庙 广东省茂名市信宜市东镇街道白坡村 正一

145 横岗山庙 广东省茂名市信宜市丁堡镇大舍坡村 正一

146 怀乡大威关帝庙 广东省茂名市信宜市怀乡镇大威村 正一

147 怀乡扶禄盘古观 广东省茂名市信宜市怀乡扶德村 全真

148 怀乡太保庙 广东省茂名市信宜市怀乡镇平梅村 正一

149 文昌宫 广东省茂名市信宜市大成镇大田顶 全真

150 武帝庙 广东省茂名市信宜市北界镇旺将村 正一

151 信宜市大仁山八仙观 广东省茂名市信宜市东镇街道北逻村大仁山 全真

152 信宜市新里龙泉庙 广东省茂名市信宜市东镇街道新里村 正一

153 广福宫 广东省梅州市大埔县湖寮镇黎家坪村 全真

154 玉帝宫 广东省梅州市大埔县湖寮镇葵坑村口大路戈 全真

155 天后宫 广东省梅州市平远县仁居镇井下村 正一

156 真武庙 广东省梅州市平远县仁居镇城南村 正一

