浙江（上）


序号   宫观名称   地址   派别



1 杭州老玉皇宫 浙江省杭州市慈云岭老玉皇宫 全真

2 抱朴道院 浙江省杭州市西湖区葛岭路抱朴道院 全真

3 张大仙庙 浙江省杭州市拱宸桥张大仙庙 全真

4 福星观 浙江省杭州市玉皇山路1号 全真

5 城厢道源禅院 浙江省杭州市萧山区城厢街道道源路城厢供电 正一

6 城厢老岳庙 浙江省杭州市萧山区城厢街道萧西路老岳庙 正一

7 戴村镇石马头惜谷庙 浙江省杭州市萧山区戴村镇石马头村 正一

8 戴村镇石牛山三清殿 浙江省杭州市萧山区戴村镇青山村 正一

9 党湾镇张神殿 浙江省杭州市萧山区党湾镇老埠头村16组 正一

10 瓜沥陛下庙 浙江省杭州市萧山区瓜沥镇东恩村 正一

11 瓜沥长巷庙 浙江省杭州市萧山区瓜沥镇东恩村 正一

12 河庄城隍庙 浙江省杭州市萧山区河庄街道同二村 正一

13 河庄娘娘庙 浙江省杭州市萧山区河庄街道民主村 正一

14 河庄蜀山庙 浙江省杭州市萧山区河庄街道 正一

15 进化靖江庙 浙江省杭州市萧山区进化镇新江村泥桥头 正一

16 进化镇泥马庙 浙江省杭州市萧山区进化镇华峰村 正一

17 靖江包公殿 浙江省杭州市萧山区靖江街道义南村 正一

18 临浦镇关帝庙 浙江省杭州市萧山区临浦镇 正一

19 楼塔管村庙 浙江省杭州市萧山区楼塔镇管村村 正一

20 楼塔镇小村坞庙 浙江省杭州市萧山区楼塔镇楼英村 正一

21 蜀山街道社坛庙 浙江省杭州市萧山区蜀山街道金家埭社区 正一

22 蜀山街道王坞庙 浙江省杭州市萧山区蜀山街道张潘桥村 正一

23 新街镇山址庙 浙江省杭州市萧山区新街镇山末址村 正一

24 新塘小城隍庙 浙江省杭州市萧山区新塘街道半爿街社区 正一

25 新湾三官殿 浙江省杭州市萧山区新湾街道建华村 正一

26 衙前东岳庙 浙江省杭州市萧山区衙前镇凤凰村 正一

27 义蓬街道江东寺 浙江省杭州市萧山区义蓬街道南沙村 正一

28 南阳街道镇海殿（觉林禅院） 浙江省杭州市萧山区南阳街道红山村 正一

29 宁围药王庙 浙江省杭州市萧山区宁围镇新华村 正一

30 所前镇大山庙  浙江省杭州市萧山区所前镇天乐社区 正一

31 义蓬街道靖海殿 浙江省杭州市萧山区义蓬街道义蓬村 正一

32 义蓬街道总管殿 浙江省杭州市萧山区义蓬街道 正一

33 义桥镇东岳庙 浙江省杭州市萧山区义桥镇云峰村 正一

34 益农镇头段庙 浙江省杭州市萧山区益农镇星联村 正一

35 南阳街道黄山庙 浙江省杭州市萧山区南阳街道黄山庙 正一

36 所前镇下水仙庙 浙江省杭州市萧山区所前镇金临湖村 正一

37 闻堰镇黄山西殿 浙江省杭州市萧山区闻堰镇黄山村黄山南麓 正一

38 温州市水心道观 浙江省温州市鹿城区南汇街道横渎村 正一

39 温州市资福道观 浙江省温州市华盖山 正一

40 温州市紫霄道观 浙江省温州市西山东路234弄 全真

41 温州市白马道观 浙江省温州市鹿城区解放南路5号 正一

