江 西 省 道 观 大 全
序号   宫派名称             地址                       派别

1 南昌万寿宫 江西省南昌市象湖公园内 正一

2 南昌县东新乡东岳庙 江西省南昌市南昌县东新乡东岳村 正一

3 南昌县十华古观 江西省南昌市南昌县八一乡新坊村 正一

4 南昌县八一晏公庙 江西省南昌市南昌县八一乡大昌村 正一

5 南昌县水云古观 江西省南昌市南昌县八一乡新坊村 正一

6 南昌县莲塘镇东岳庙 江西省南昌市南昌县莲塘镇定岗村 正一

7 南昌县东新乡古东岳庙 江西省南昌市南昌县东新乡利用村 正一

8 南昌县七坊晏公庙 江西省南昌市南昌县黄马乡东边村七坊 正一

9 南昌县新塘家庙 江西省南昌市南昌县黄马乡东边村 正一

10 南昌县幽兰镇天花宫 江西省南昌市南昌县幽兰镇牌坊楼下村 正一

11 南昌县幽兰镇东岳庙 江西省南昌市南昌县幽兰镇东田黄蜂场 正一

12 南昌县蒋巷镇东大庙 江西省南昌市南昌县蒋巷镇山尾村 正一

13 南昌县元帝神宫 江西省南昌市南昌县富山乡张坊村 正一

14 南昌县东新乡黎坊庙 江西省南昌市南昌县东新乡大洲村下边小组 正一

15 南昌县姜家天花宫 江西省南昌市南昌县八一乡淡溪村后房村 正一

16 南昌县莲塘镇明王庙 江西省南昌市南昌县莲塘镇埂头村 正一

17 南昌县武阳镇天花宫 江西省南昌市南昌县武阳镇泗洪村朱家村小组 正一

18 南昌县水天院 江西省南昌市南昌县蒋巷镇白岸村 正一

19 南昌县八一乡天花宫 江西省南昌市南昌县八一乡涂埠村自然村 正一

20 新建县西山万寿宫 江西省南昌市新建县西山镇万寿路 正一

21 新建县黄堂宫 江西省南昌市新建县松湖镇谭家自然村38号 正一

22 新建县许家祠 江西省南昌市新建县西山镇西山村鞠家自然村 正一

23 新建县天子庙 江西省南昌市新建县石岗镇石岗村 正一

24 新建县关帝古庙 江西省南昌市新建县厚田乡西门村 正一

25 新建县礼步神祠 江西省南昌市新建县长堎镇环湖路56号 正一

26 新建县大公坛 江西省南昌市新建县大塘坪乡观西村 正一

27 新建县吴源殿 江西省南昌市新建县溪霞镇申家村 正一

28 新建县老感古庙 江西省南昌市新建县流湖乡上房村后山 正一

